"Module","Type","String","Translation"
"MagoArab_WhatsappIcon","module","WhatsApp Icon","أيقونة واتساب"
"MagoArab_WhatsappIcon","module","Enable WhatsApp Icon","تفعيل أيقونة واتساب"
"MagoArab_WhatsappIcon","module","WhatsApp Phone Number","رقم هاتف واتساب"
"MagoArab_WhatsappIcon","module","Default Support Message","رسالة الدعم الافتراضية"
"MagoArab_WhatsappIcon","module","Icon Style","نمط الأيقونة"
"MagoArab_WhatsappIcon","module","Icon Position","موضع الأيقونة"
"MagoArab_WhatsappIcon","module","Icon Size","حجم الأيقونة"
"MagoArab_WhatsappIcon","module","Animation Effect","تأثير الحركة"
"MagoArab_WhatsappIcon","module","Show Icon On","عرض الأيقونة على"
"MagoArab_WhatsappIcon","module","Specific CMS Pages","صفحات CMS محددة"
"MagoArab_WhatsappIcon","module","Enable Working Hours","تفعيل ساعات العمل"
"MagoArab_WhatsappIcon","module","Working Hours Start","بداية ساعات العمل"
"MagoArab_WhatsappIcon","module","Working Hours End","نهاية ساعات العمل"
"MagoArab_WhatsappIcon","module","Working Days","أيام العمل"
"MagoArab_WhatsappIcon","module","Enable Multi-Agent Support","تفعيل دعم متعدد الوكلاء"
"MagoArab_WhatsappIcon","module","Agent Selection Method","طريقة اختيار الوكلاء"
"MagoArab_WhatsappIcon","module","Show Agent Information","عرض معلومات الوكلاء"
"MagoArab_WhatsappIcon","module","Offline Message","رسالة عدم الاتصال"
"MagoArab_WhatsappIcon","module","Manage Agents","إدارة الوكلاء"
"MagoArab_WhatsappIcon","module","Add New Agent","إضافة وكيل جديد"
"MagoArab_WhatsappIcon","module","Agent Name","اسم الوكيل"
"MagoArab_WhatsappIcon","module","Phone Number","رقم الهاتف"
"MagoArab_WhatsappIcon","module","Title/Position","المسمى الوظيفي"
"MagoArab_WhatsappIcon","module","Avatar URL","رابط الصورة الشخصية"
"MagoArab_WhatsappIcon","module","Status","الحالة"
"MagoArab_WhatsappIcon","module","Working Hours","ساعات العمل"
"MagoArab_WhatsappIcon","module","Edit","تعديل"
"MagoArab_WhatsappIcon","module","Delete","حذف"
"MagoArab_WhatsappIcon","module","Save Agent","حفظ الوكيل"
"MagoArab_WhatsappIcon","module","Cancel","إلغاء"
"MagoArab_WhatsappIcon","module","Online","متصل"
"MagoArab_WhatsappIcon","module","Offline","غير متصل"
"MagoArab_WhatsappIcon","module","Busy","مشغول"
"MagoArab_WhatsappIcon","module","Monday","الاثنين"
"MagoArab_WhatsappIcon","module","Tuesday","الثلاثاء"
"MagoArab_WhatsappIcon","module","Wednesday","الأربعاء"
"MagoArab_WhatsappIcon","module","Thursday","الخميس"
"MagoArab_WhatsappIcon","module","Friday","الجمعة"
"MagoArab_WhatsappIcon","module","Saturday","السبت"
"MagoArab_WhatsappIcon","module","Sunday","الأحد"
